transaction_id,user_id,card_id,merchant_id,amount,currency,timestamp,device_id,ip_address,location,status,merchant_category,velocity_24h
TXN_20240923001,USER_12345,CARD_5678,MERCH_001,150.50,USD,2024-09-23T10:00:00Z,DEV_ABC123,192.168.1.100,"New York, NY",COMPLETED,RETAIL,1
TXN_20240923002,USER_12345,CARD_5678,MERCH_002,2500.00,USD,2024-09-23T10:05:00Z,DEV_ABC123,192.168.1.100,"New York, NY",COMPLETED,ELECTRONICS,2
TXN_20240923003,USER_12345,CARD_5678,MERCH_003,45.00,USD,2024-09-23T10:15:00Z,DEV_XYZ999,10.0.0.1,"Unknown",DECLINED,GAMBLING,3
TXN_20240923004,USER_12346,CARD_5679,MERCH_001,89.99,USD,2024-09-23T11:00:00Z,DEV_ABC124,192.168.1.101,"Los Angeles, CA",COMPLETED,RETAIL,1
TXN_20240923005,USER_12346,CARD_5679,MERCH_004,1200.00,USD,2024-09-23T11:05:00Z,DEV_ABC124,192.168.1.101,"Los Angeles, CA",COMPLETED,TRAVEL,2
TXN_20240923006,USER_12347,CARD_5680,MERCH_005,35.00,USD,2024-09-23T12:00:00Z,DEV_ABC125,192.168.1.102,"Chicago, IL",COMPLETED,FOOD,1
TXN_20240923007,USER_12347,CARD_5680,MERCH_001,250.00,USD,2024-09-23T12:30:00Z,DEV_ABC125,192.168.1.102,"Chicago, IL",COMPLETED,RETAIL,2
TXN_20240923008,USER_12348,CARD_5681,MERCH_006,5000.00,USD,2024-09-23T13:00:00Z,DEV_NEW999,198.51.100.1,"Unknown",PENDING,WIRE_TRANSFER,1
TXN_20240923009,USER_12348,CARD_5681,MERCH_007,3500.00,USD,2024-09-23T13:05:00Z,DEV_NEW999,198.51.100.1,"Unknown",DECLINED,CRYPTO,2
TXN_20240923010,USER_12349,CARD_5682,MERCH_001,75.50,USD,2024-09-23T14:00:00Z,DEV_ABC126,192.168.1.103,"Miami, FL",COMPLETED,RETAIL,1
